function,thinking_time,level,died_count,win_count,scores_mean,scores_std,num_moves_mean,num_moves_std,times_mean,times_std
max_visits_75_reward_25,0.1,7,10,0,-0.9,0,5.1,1.445683229,0.970890903,0.243651318
max_reward_optimistic,0.1,7,2,8,0.7,0.8,10,3.098386677,1.831877565,0.551598898
max_reward_pessimistic,0.1,7,10,0,-0.9,0,3.9,0.943398113,0.765843034,0.171018103
max_reward_median,0.1,7,10,0,-0.9,0,4.5,1.118033989,0.865447092,0.19614478
max_reward,0.5,7,1,9,0.9,0.6,10.4,1.8,6.070277023,1.030019545
max_visits,0.5,7,5,5,0.1,1,9.3,3.742993454,5.436082387,2.148539978
max_visits_50_reward_50,0.5,7,4,6,0.3,0.979795897,8.8,3.280243893,5.142458534,1.897928505
max_visits_25_reward_75,0.5,7,0,10,1.1,0,11.8,0.979795897,6.884338379,0.566045316
max_visits_75_reward_25,0.5,7,9,1,-0.7,0.6,5.8,2.785677655,3.418045306,1.608026149
max_reward_optimistic,0.5,7,0,10,1.1,0,11.8,0.979795897,6.887861824,0.565892391
max_reward_pessimistic,0.5,7,10,0,-0.9,0,3.7,1.004987562,2.204238272,0.580800943
max_reward_median,0.5,7,10,0,-0.9,0,4.8,1.939071943,2.840131903,1.126347976
max_reward,1,7,0,10,1.1,0,11.2,0.6,12.1568408,0.654997202
max_visits,1,7,8,2,-0.5,0.8,6.7,3.287856445,7.288384795,3.534533001
max_visits_50_reward_50,1,7,8,2,-0.5,0.8,6.7,3.377869151,7.281371593,3.633390128
max_visits_25_reward_75,1,7,0,10,1.1,0,11.2,0.6,12.14114823,0.63137591
max_visits_75_reward_25,1,7,8,2,-0.5,0.8,6.4,3.168595904,6.98159852,3.41919932
max_reward_optimistic,1,7,0,10,1.1,0,12.2,0.979795897,13.24160035,1.067018712
max_reward_pessimistic,1,7,10,0,-0.9,0,4.5,1.118033989,4.936300516,1.213476926
max_reward_median,1,7,10,0,-0.9,0,5.9,1.920937271,6.44246223,2.077166053
max_reward,2,7,0,10,1.1,0,11.2,0.6,23.33579674,1.244091118
max_visits,2,7,7,3,-0.3,0.916515139,7.9,3.419064199,16.51092019,7.10323538
max_visits_50_reward_50,2,7,8,2,-0.5,0.8,6.5,2.906888371,13.59106433,6.053856832
max_visits_25_reward_75,2,7,0,10,1.1,0,11.2,0.6,23.34695683,1.259502765
max_visits_75_reward_25,2,7,10,0,-0.9,0,4.8,1.077032961,10.05566387,2.238454139
max_reward_optimistic,2,7,0,10,1.1,0,11.8,0.979795897,24.60239432,2.040154142
max_reward_pessimistic,2,7,10,0,-0.9,0,3.7,1.1,7.75912509,2.270881617
max_reward_median,2,7,10,0,-0.9,0,4.6,1.356465997,9.630389619,2.812012465
max_reward,0.1,8,0,10,1.1,0,27.2,2.891366459,4.888516951,0.503025208
max_visits,0.1,8,5,5,0.1,1,20.8,10.01798383,3.776467729,1.774883353
max_visits_50_reward_50,0.1,8,6,4,-0.1,0.979795897,18.7,6.768308504,3.369910955,1.192713756
max_visits_25_reward_75,0.1,8,1,9,0.9,0.6,24.2,4.214261501,4.385066676,0.744674519
max_visits_75_reward_25,0.1,8,9,1,-0.71,0.604069532,17.7,9.706183596,3.205638337,1.70846606
max_reward_optimistic,0.1,8,3,7,0.5,0.916515139,20.9,11.11260546,3.808372355,1.981785871
max_reward_pessimistic,0.1,8,10,0,-0.9,0,11.4,3.352610923,2.091488957,0.612675233
max_reward_median,0.1,8,10,0,-0.9,0,9.7,2.002498439,1.778567815,0.337864588
max_reward,0.5,8,1,9,0.9,0.6,24.1,4.158124577,13.9633466,2.421067016
max_visits,0.5,8,9,1,-0.7,0.6,13.5,7.787810989,7.85083344,4.463530509
max_visits_50_reward_50,0.5,8,3,7,0.5,0.916515139,23.3,6.972087205,13.53440752,4.005321439
max_visits_25_reward_75,0.5,8,1,9,0.9,0.6,21.3,2.9,12.36079631,1.642692491
max_visits_75_reward_25,0.5,8,7,3,-0.31,0.923525852,17.1,9.20271699,9.905956078,5.299568718
max_reward_optimistic,0.5,8,0,10,1.1,0,24.2,2.856571371,14.03064308,1.675231597
max_reward_pessimistic,0.5,8,10,0,-0.9,0,7.3,1.417744688,4.282079244,0.814636379
max_reward_median,0.5,8,10,0,-0.9,0,9.5,4.588027899,5.576035595,2.651623075
max_reward,1,8,1,9,0.9,0.6,21.5,4.318564576,23.2172406,4.60166481
max_visits,1,8,8,2,-0.5,0.8,19,9.848857802,20.49610837,10.57112763
max_visits_50_reward_50,1,8,4,6,0.3,0.979795897,21.6,10.10148504,23.32984695,10.8092562
max_visits_25_reward_75,1,8,2,8,0.7,0.8,20.8,3.919183588,22.48355541,4.205384089
max_visits_75_reward_25,1,8,8,2,-0.5,0.8,18.8,8.77268488,20.33489885,9.453134136
max_reward_optimistic,1,8,0,10,1.1,0,24.8,3.736308338,26.80860791,3.98872856
max_reward_pessimistic,1,8,10,0,-0.9,0,6.4,0.8,6.994603372,0.88938829
max_reward_median,1,8,10,0,-0.9,0,9.8,3.515679166,10.62360001,3.804318812
max_reward,2,8,1,9,0.9,0.6,20.9,3.47706773,43.58654122,7.22954939
max_visits,2,8,8,2,-0.5,0.8,18.1,10.30970417,37.76716628,21.44090641
max_visits_50_reward_50,2,8,6,4,-0.1,0.979795897,19.4,8.224354078,40.4394217,17.087253
max_visits_25_reward_75,2,8,1,9,0.9,0.6,20.1,3.419064199,41.93735213,7.084004782
